name,Section,link
ITCE 436-445 |ITNE490,1,https://chat.whatsapp.com/J0HJZunRDycL3A6WmMA91l
ITCE101,2,https://chat.whatsapp.com/H2TC5uh9Qzu2Nk6QjugdCU
ITCE101,1,https://chat.whatsapp.com/Ja1XpSwGmRYKbiihFsUwOZ
ITCE112/250,1,https://chat.whatsapp.com/IxnwAvJzYQ0Df9qkvUMoL0
ITCE112/250,2,https://chat.whatsapp.com/HGGzTzIbO0AAWsjaxV5om7
ITCE112/250,3,https://chat.whatsapp.com/Bqr5hngyyg24yrXKVwsxHX
ITCE112/250,4,https://chat.whatsapp.com/GgRbqLrdBBEFZ6ZBv6Yn7q
ITCE112/250,5,https://chat.whatsapp.com/CDMReIZnuPfIq0Pi3A0vJa
ITCE112/250,6,https://chat.whatsapp.com/B8yH0CGLTJiD7iFEwTfm68
ITCE112/250,4,https://chat.whatsapp.com/GgRbqLrdBBEFZ6ZBv6Yn7q
ITCE112/250,ALL SECTION,https://chat.whatsapp.com/L5tKLOIMeOE68jwEn4rJIa
ITCE211/251,1,https://chat.whatsapp.com/C1aszCDor7J2BkoM1ewSJx
ITCE221/260,1,https://chat.whatsapp.com/C2dwWZK09cg2JS3jlyYyEb
ITCE222,1,https://chat.whatsapp.com/JBkOPawEDOX9xWKsA0fi6z
ITCE230/341,1,https://chat.whatsapp.com/Ibr3DvgZb3OF0GgY5SyO8D
ITCE252/314,1,https://chat.whatsapp.com/K11HvbV2hphBJHQvC8brGz
ITCE252/314,2,https://chat.whatsapp.com/JEamNZKU1K3Fz2mXqmNDRJ
ITCE252/314,3,https://chat.whatsapp.com/JwS7OHhfFTKFZpVPOoWDQq
ITCE300,1,https://chat.whatsapp.com/ISPc4y1fBoSLI5WeyEXTWG
ITCE320,1,https://chat.whatsapp.com/GdlbML1RJsYFyHc6B8RKDo
ITCE340/272,1,https://chat.whatsapp.com/LtHq4X9r2516CVQ8GUr28H
ITCE353,1,https://chat.whatsapp.com/GnK3uBcRRea0Ro5FX3oLMd
ITCE362-364,1,https://chat.whatsapp.com/Ls6F3kpCOEx69dAPaG6lBb
ITCE380,1,https://chat.whatsapp.com/F1vkiw8UTBmCxdlwYZVB3k
ITCE416,1,https://chat.whatsapp.com/C2dwWZK09cg2JS3jlyYyEb
ITCE416,1,https://chat.whatsapp.com/LeDFiqxx4D80vChLhwMZGc
ITCE416,2,https://chat.whatsapp.com/KQ4kjasuz1w841IE89gMYO
ITCE419-ITCE454,1,https://chat.whatsapp.com/FbprlcRT9n0CcCi8rGIUy5
ITCE444,1,https://chat.whatsapp.com/EALNhFupOQPGvfdbBp3HEr
ITCE470,1,https://chat.whatsapp.com/J3N8mvQ7mJJEcvTeQfZTk6
ITCE471,1,https://chat.whatsapp.com/GIlrNmKm8ABHruti1A2elX
ITCE497-ITNE402,1,https://chat.whatsapp.com/Ls6F3kpCOEx69dAPaG6lBb
ITCS,3,https://chat.whatsapp.com/JaqAgmErE0DAdReJ78RPRs
ITCS 113-111,1,https://chat.whatsapp.com/BgTEtoMcn3R2NnZSxQPSum
ITCS 113-111,ALL SECTION 2,https://chat.whatsapp.com/IbGbw6mNqAu8KsRnoeKbkg
ITCS 113-112,2,https://chat.whatsapp.com/FvDznN52SNC3Nyv6gXrjTt 
ITCS 113-113,3,https://chat.whatsapp.com/BaPmXyUwmZhJVQj2QPalXg
ITCS 113-114,4,https://chat.whatsapp.com/DxbVB0nHkUYDkJACipSOoi
ITCS 113-115,5,https://chat.whatsapp.com/IGAkWeqOgUFGf6bvLwS7fv
ITCS 113-116,6,https://chat.whatsapp.com/D7YUgSXgX1q9bYedq5XRct
ITCS 113-117,7,https://chat.whatsapp.com/Dx3jSormGOQ2w5BkdvNCE7
ITCS 113-118,8,https://chat.whatsapp.com/CcD0Ah9Ktzm3Wz7sCOYHoz
ITCS 113-119,9,https://chat.whatsapp.com/DpCUgaOFjycH8oXao8MQ8B
ITCS 113-120,10,https://chat.whatsapp.com/DoOtUlSzvF2K14YsnAbwUL
ITCS 113-121,11,https://chat.whatsapp.com/LnZA8R9QdxlE8aMCqSVKNv
ITCS 113-122,12,https://chat.whatsapp.com/Jluj7wryuGZ9QjkmwXd8tk
ITCS 113-123,13,https://chat.whatsapp.com/FoIoleDU96nDtR9fXlMTLM
ITCS 113-124,14,https://chat.whatsapp.com/Jz0sZ1jIz8E5LZPl895KhL
ITCS 113-125,15,https://chat.whatsapp.com/Idt2m6zb0a5FBUmOo7Ebgm
ITCS 113-126,16,https://chat.whatsapp.com/GmP3JZtn8xv5kEm7HeuaM1
ITCS 113-127,17,https://chat.whatsapp.com/EoHcAArSuE13S3r97T9CaL
ITCS 113-128,18,https://chat.whatsapp.com/J1s8OSvCO9BHqQ3adaGIaY
ITCS 113-129,19,https://chat.whatsapp.com/L4Amw9vFt2L4VQN7o2zRGD
ITCS 113-130,20,https://chat.whatsapp.com/FgWzRQ6lBJjBHx1rMJnPae
ITCS 113-131,21,https://chat.whatsapp.com/Ck4soxnLSTr6dLk2nRVdsG
ITCS 113-132,22,https://chat.whatsapp.com/CYuga3vhCDiE66Z57G549o
ITCS 113-133,23,https://chat.whatsapp.com/BgTEtoMcn3R2NnZSxQPSum
ITCS 113-134,24,https://chat.whatsapp.com/FiS9ndhMLP1CWnlCmJBNSe
ITCS 113-135,25,https://chat.whatsapp.com/Euhy5pohZlxDTt4uWvzDyZ
ITCS 113-136,26,https://chat.whatsapp.com/EgbSgjj2JCFLt81KM5UuXR
ITCS 214-215-216,ALL SECTION,https://chat.whatsapp.com/Ldqte5RDH1VIl1epfmgdvB
ITCS 214-215-216,1,https://chat.whatsapp.com/E8abVT8V0F32JWTNIBcdAP
ITCS 214-215-216,2,https://chat.whatsapp.com/L1TdzVjm11gJ9sgG06AToO
ITCS 214-215-216,3,https://chat.whatsapp.com/B6GZKQl2DLH364eomCA9d3
ITCS 214-215-216,4,https://chat.whatsapp.com/JywF4BI2s4p4Aga6DTXXUX
ITCS114-112,ALL SECTION,https://chat.whatsapp.com/GQZZx3BX7bI17nQjhT1c2I
ITCS114-112,1,https://chat.whatsapp.com/EVSCTFJo3sLIB3cvimhvxb
ITCS114-112,2,https://chat.whatsapp.com/HdnTrLE0sKa1CUCuGHGBQw
ITCS114-112,3,https://chat.whatsapp.com/CoggmsDTc7LLSp6B3z5LlB
ITCS114-112,4,https://chat.whatsapp.com/CURunAatfy1AlECKbK3KQx
ITCS114-112,5,https://chat.whatsapp.com/D7XF27YgOJDERQxrOMWWYx
ITCS114-112,6,https://chat.whatsapp.com/EMolQTquFQpCEPiAj7NVV9
ITCS114-112,2,https://chat.whatsapp.com/L1TdzVjm11gJ9sgG06AToO
ITCS214,7,https://chat.whatsapp.com/ITVPByazICvGCYlu3ePZ8K
ITCS214,,https://chat.whatsapp.com/JCm6jQZ7csN3cHm8BpfZVx
ITCS214,8,https://chat.whatsapp.com/I60EZ9gAkalCNzY83Oy2kq
ITCS214,6,https://chat.whatsapp.com/Kth8XKpIafVFkSuLtxod6v
ITCS222,1,https://chat.whatsapp.com/GOSpUUQS4nw4zlhay1DJJ0
ITCS254,5,https://chat.whatsapp.com/H1SoIM7Rfr0IeCvtrdi8g2
ITCS254,1,https://chat.whatsapp.com/DiVj4iY5uziKWs5yzYZBJc
ITCS254,2,https://chat.whatsapp.com/E3gjqyxHOOC63QouBeCPpf
ITCS254,4,https://chat.whatsapp.com/DuFMyFxe4a857HzcowzT0M
ITCS255,2,https://chat.whatsapp.com/GF48ASiYTBAKW1PRDOF2NJ
ITCS255,1,https://chat.whatsapp.com/HgaUmQ9oQ3e50tbuOTUfHL
ITCS285,1,https://chat.whatsapp.com/LGMTbha8nwX8PJ5GY0yZBi
ITCS285,2,https://chat.whatsapp.com/DuIXrwjbjk90BF5nCDczda
ITCS285,1,https://chat.whatsapp.com/LGMTbha8nwX8PJ5GY0yZBi
ITCS316,2,https://chat.whatsapp.com/Kl8zPXxEuWKHjVzhOzno5O
ITCS316,1,https://chat.whatsapp.com/KFl9TVFaScTIs5ecqB4sm4
ITCS317,1,https://chat.whatsapp.com/FSmlSLMPvp8B9MSON0w5gB
ITCS321,1,https://chat.whatsapp.com/BMniC7JPq1h6Ypqh3NY08A
ITCS325,2,https://chat.whatsapp.com/It75yEgDpQyJLomPf8IAYh
ITCS325,1,https://chat.whatsapp.com/HTifg5Bp54IBHT5gvbVzyx
ITCS330,1,https://chat.whatsapp.com/Hl2NSxbvUIOKSvjVOMluTq
ITCS333,ALL SECTION,https://chat.whatsapp.com/HZ3ZSayQzls9xS4fG5MLRW
ITCS333,3,https://chat.whatsapp.com/FLG4l5tZpFg9hcool84R1b
ITCS333,Sec 2,https://chat.whatsapp.com/LNihHNwh9gxGGgoufPl8n6
ITCS333,sec01,https://chat.whatsapp.com/Ldly27xs0KiK3BH4h8rj5h
ITCS347,2,https://chat.whatsapp.com/JrKEluLJi0qD6pBjR3LjA3
ITCS347,1,https://chat.whatsapp.com/GzNYHMd58ho5aQVh10u9eG
ITCS389,ALL SECTION,https://chat.whatsapp.com/FxkwzC4EaeVCLcQPoebWzJ
ITCS389,1,https://chat.whatsapp.com/JKA0nnQARcaDKOiFbdJPrd
ITCS396,1,https://chat.whatsapp.com/D243DwjlFIQH21gXf09wB3
ITCS411,1,https://chat.whatsapp.com/GPIpqyKmbC8KAlMapiiOy5
ITCS411,2,https://chat.whatsapp.com/JcqXlwtfM5XKe8XayxDUA4
ITCS440,1,https://chat.whatsapp.com/J3hvKoiYsIl4bWbrCqEAp8
ITCS441,1,https://chat.whatsapp.com/FSAYtBbyO027DQL8KMxXKR
ITCS444,1,https://chat.whatsapp.com/K4FMewnLogT50AUAisS1vM
ITCS448,1,https://chat.whatsapp.com/DzyRWna9HLcEwtEWfSMZNj
ITCS453,1,https://chat.whatsapp.com/FmnQlVE7y8g8ncGlhcBP1m
ITCS489,1,https://chat.whatsapp.com/HgxxnnUDwyF0TASnnScR9p
ITCS494,1,https://chat.whatsapp.com/KnSsykZY8ciHgvfvWo0ACv
ITCS496,1,https://chat.whatsapp.com/ISIVq99J3h3FsgReyLuald
ITIS 213,1,https://chat.whatsapp.com/BKglpb6hCaZJCSPcgo9bT4
ITIS103,ALL SECTION,https://chat.whatsapp.com/EJaymjvsq9y3p3k99f5yuG
ITIS103,1,https://chat.whatsapp.com/JO4mrmJOHPWGo16cgM6xHq
ITIS103,3,https://chat.whatsapp.com/IJAe6sQUraX6Ng74SsL1bl
ITIS103,5,https://chat.whatsapp.com/Fg8W54ejH7a7a50bsrdZTI
ITIS103,7,https://chat.whatsapp.com/Cq6iUGIZPUFJwtcTjpXGM3
ITIS103,3,https://chat.whatsapp.com/K3Tie6zcYiWKZEnfpaOQHq
ITIS103,14,https://chat.whatsapp.com/EQPfqbovUdtGH01qe1wR5E
ITIS103,2,https://chat.whatsapp.com/LpiqWafrlIfHFxSgzotaGO
ITIS103,12,https://chat.whatsapp.com/JNUxMx2DRh37HtAJ1meQZ8
ITIS103,sec09,https://chat.whatsapp.com/IB42oiZDsa5088oc76GgOr
ITIS103,8,chat.whatsapp.com/GOTrQ6I4lloCRhZNkBcTbJ
ITIS232,Sec02,https://chat.whatsapp.com/CyqVt0P2rJuIprsuaVOU19
ITIS241,3,https://chat.whatsapp.com/IVmWR8aNYH00NAbGJHIwik
ITIS241,All SECTION,https://chat.whatsapp.com/KFA1MAP3ufJGPDOo8sSHpe
ITIS241,1,https://chat.whatsapp.com/CDknoxwR8K67qhZZrlqAoC
ITIS241,2,https://chat.whatsapp.com/J7FU4YDO1v6JA5lCMv8vmn
ITIS241,3,https://chat.whatsapp.com/IHsgYlFFRfvA8bZUN4eLax
ITIS252,2,https://chat.whatsapp.com/HIGnzDUO3CjFbF0WAk1tXh
ITIS265,2,https://chat.whatsapp.com/JqF9oV4t9KG64cVhNxquPD 
ITIS265,3,https://chat.whatsapp.com/FlVl9rWDz3IFOq0myn1wGM
ITIS361,Sec 03,https://chat.whatsapp.com/G4IJtykIX674msnjJnzAQf
ITNE110,1,https://chat.whatsapp.com/GiSJqDEKtkyATLLqdy0VSc
ITNE110,2,https://chat.whatsapp.com/K14Q5dfkKkM6uYHRjjOhPV
ITNE231,1,https://chat.whatsapp.com/DS4xXRdANfu3K6VPRrvpLt
ITNE231,2,https://chat.whatsapp.com/JNQPASkcaf1KazUbsDZuIT
ITNE240,1,https://chat.whatsapp.com/JXStDtgrssQBRrxR187vYQ
ITNE341,1,https://chat.whatsapp.com/GkidC6HihWsER3m1kAZ8lM
ITNE352/493-401,1,https://chat.whatsapp.com/Fjrui4hiuFLWCkKf89Uz
ITNE360-ITCE450,1,https://chat.whatsapp.com/DaUXn8Hiynt1iK9cSlCWWt
ITNE480,1,https://chat.whatsapp.com/Ll5iXMMjyorHczaXmYc7uy
ITNE481-ITCE453,1,https://chat.whatsapp.com/FCbZe5o5M65KRO0WFZZt7L
ITSE201,1,https://chat.whatsapp.com/KXtRNORWMxXLnBwTbm070U
ITSE201,2,https://chat.whatsapp.com/ChXvzAj9JdICN0n3CK725G
ITSE220,1,https://chat.whatsapp.com/KXr7NEigDtL0Rg8Q3Behqt
ITSE301,2,https://chat.whatsapp.com/D1PybyC8vSX7CkLDwznF3A
ITSE302,1,https://chat.whatsapp.com/EdpExTcW0ef0gAeoQvFHgn
ITSE302,2,https://chat.whatsapp.com/Hg0pt5Fech8GG4NsPJtVqI
ITSE403,1,https://chat.whatsapp.com/Gs4EZmRL2kQ8fc8rs5SAmd
Math001,2,https://chat.whatsapp.com/D8Ln4639jEk48FKB29zGlZ
Math001,1,https://chat.whatsapp.com/E75TuMFSAKTClfDSqYEde8
MATH205,1,https://chat.whatsapp.com/D92giVmok4616bAZRuKVXU
MATH205,3,https://chat.whatsapp.com/D92giVmok4616bAZRuKVXU
MATHS101,ALL SECTION,https://chat.whatsapp.com/IOeMUwsaX1J3EARTG7uUV9
MATHS101,9,https://chat.whatsapp.com/E56z3dOtxQDBgWoL5McI
MATHS101,1,https://chat.whatsapp.com/FgzIhybQGUoGFJpDxFpJtW
MATHS101,2,https://chat.whatsapp.com/EJcOI7xsLNu0vZuHfXYdHT
MATHS101,3,https://chat.whatsapp.com/Bonqh1lDyHLDYPp9A2dKOI
MATHS101,4,https://chat.whatsapp.com/B9gzJigSlloFEuQxVe4p1v
MATHS101,5,https://chat.whatsapp.com/JY5ibQNe6aS8wtqkUDkLR2
MATHS101,24,https://chat.whatsapp.com/JY5ibQNe6aS8wtqkUDkLR2
MATHS101,7,https://chat.whatsapp.com/DyrnxPS2DCtDAS5p1CA7m0
MATHS101,8,https://chat.whatsapp.com/IlPNVTrj4kJ7zw1EWIywfl
MATHS101,9,https://chat.whatsapp.com/LqCRadDluA09WAZpPM7RHr
MATHS101,10,https://chat.whatsapp.com/B8Wvs7iQyqa1s8qV59zplN
MATHS101,11,https://chat.whatsapp.com/Hl6flQB8tB3HRfBOsEXTui
MATHS101,13,https://chat.WhatsApp.com/CtduaDrCaneLYUw9XLSKBY
MATHS102,2,https://chat.whatsapp.com/HwQVAxR6ibvKcx7QLtjR6h
MATHS205,2,https://chat.whatsapp.com/Cf96JIJDte63oCag6sGN87
MATHS205,8,https://chat.whatsapp.com/IhbBPUm753MHS96i5CLLdx
MATHS205,2,https://chat.whatsapp.com/HZXDK4tSgn7JlAo2ry1wUa
MATHS211,3,https://chat.whatsapp.com/LFKUEFH08gYG03DPeJXAgp
MATHS211,2,https://chat.whatsapp.com/KTGJjKcqkZMHVg8hhlLC66
MATHS211,1,https://chat.whatsapp.com/J76YT0LVbAaL2fU11I3xXK
MATHS342,1,https://chat.whatsapp.com/LiUGPIeFOH0C9KHBvi4WWl
MATHS342,2,https://chat.whatsapp.com/DdfiDMatqth90R0xm39KFV
MGT230,3,https://chat.whatsapp.com/G9ZMWXWezpHKv5GVctg53U
PHYCS 101,14&13,https://chat.whatsapp.com/FtQaNCmlXvi7Aji9CoPyyS
PHYCS101,ALL SECTION,https://chat.whatsapp.com/CX4IiZe4ArGHDyDA0IvOVX
PHYCS101,All SECTION 1,https://chat.whatsapp.com/CX4IiZe4ArGHDyDA0IvOVX
PHYCS101,All SECTION 2,https://chat.whatsapp.com/IiFZ0aNP9Kg8a9ZJhlCSua
PHYCS101,2-Jan,https://chat.whatsapp.com/KTfTGf1TRK97Wd43NPSOR0
PHYCS101,4-Mar,https://chat.whatsapp.com/Iu2Hwguv66n3XH4tuAdML0
PHYCS101,6-May,https://chat.whatsapp.com/LURrHpQIqoj8ZNwYKVQVVD
PHYCS101,8-Jul,https://chat.whatsapp.com/COBa3mZfTB3GtPGDLosMW2
PHYCS101,10-Sep,https://chat.whatsapp.com/G7ICyTNbrQQL0c6ZjiBAPD
PHYCS101,12-Nov,https://chat.whatsapp.com/EZLSVCT34rV1y3L5A6hutU
PHYCS101,13-14,https://chat.whatsapp.com/FtQaNCmlXvi7Aji9CoPyyS
PHYCS101,15-16,https://chat.whatsapp.com/B8HrnGJ2eB03lrUtDoxWfn
PHYCS101,17-18,https://chat.whatsapp.com/D8mkAIy1RWdJNeWzThr0mH
PHYCS101,19-20,https://chat.whatsapp.com/Fag4aPoFT0kEBc0svEu6JV
PHYCS101,21-22,https://chat.whatsapp.com/FNqHjljKM666VjJ26eA4ob
PHYCS101,23-24,https://chat.whatsapp.com/LrY8sxgIiGt3CIobgyKdBW
PHYCS101,25-26,https://chat.whatsapp.com/G5mqS6K5Z9bLPXiLmjrKvb
PHYCS101,27-28,https://chat.whatsapp.com/FDzIWraulX15pZZitJPgfA
PHYCS101,29-30,https://chat.whatsapp.com/Ewgb6Xofe3mH2YYOrGVHQL
PHYCS101,31-32,https://chat.whatsapp.com/HM9rV7mGwkFJjasepLLhzK
PHYCS102,4-Mar,https://chat.whatsapp.com/FcrRL86X8s8AgNxc6BBUXL
PHYCS102,ALL SECTION,https://chat.whatsapp.com/Khfs6YTba1n8AiCqG7p85g
PHYCS102,8-Jul,https://chat.whatsapp.com/COIRrsrg5gd4Xz0zprwQq0
PHYCS102,13-14,https://chat.whatsapp.com/Fms8WFmAiDaDstfE0CWhJg
PHYCS102,17-18,https://chat.whatsapp.com/FvIsjOkHU2xHsZ9QU6Iuwo
PHYCS102,ALL SECTION,https://chat.whatsapp.com/Khfs6YTba1n8AiCqG7p85g
PHYCS102,2-Jan,https://chat.whatsapp.com/GP9LEkk3Zi1E1ZK9FYURjH
PHYCS102,4-Mar,https://chat.whatsapp.com/FcrRL86X8s8AgNxc6BBUXL
PHYCS102,8-Jul,https://chat.whatsapp.com/COIRrsrg5gd4Xz0zprwQq0
PHYCS102,10-Sep,https://chat.whatsapp.com/IfBeVIsxNSY7TyoxH4j9Ac
PHYCS102,12-Nov,https://chat.whatsapp.com/IbCLON7cgM50iVu7gyLL1B
PHYCS102,13-14,https://chat.whatsapp.com/Fms8WFmAiDaDstfE0CWhJg
PHYCS102,17-18,https://chat.whatsapp.com/FvIsjOkHU2xHsZ9QU6Iuwo
PHYCS102,19-20,https://chat.whatsapp.com/EdpExTcW0ef0gAeoQvFHgn
PHYCS102,13,https://chat.whatsapp.com/I3SV22zFTCGAYIsPWKxFiC
PSYC120,2,https://chat.whatsapp.com/ClZTmNq4pQe00EUf2ApEfm
PSYCS120,ALL SECTION,https://chat.whatsapp.com/IBImL0YLizS9t695evKcPO
STAT273,9,https://chat.whatsapp.com/GixJctnWG6HCw5EFIATb06
STAT273,8,https://chat.whatsapp.com/EqNe4UNgTDR3U5sQuX9I
STAT273,1,https://chat.whatsapp.com/Ikm3b6xhqnFE8u6XbgFPno
STAT273,9,https://chat.whatsapp.com/GixJctnWG6HCw5EFIATb06
STAT273,10,https://chat.whatsapp.com/BzJejEjAmVH64QPLHviSGA
STAT273,6,https://chat.whatsapp.com/ENEGrSZo2WC9U5aYog3rN1
